ticker,date,open,high,low,close
DESO,2022-05-15,11.1216,14.4292,11.1216,14.3579
DESO,2022-05-16,14.2526,14.2526,12.7057,13.4851
DESO,2022-05-17,15.22,15.87,13.82,14.34
DESO,2022-05-18,14.3,15.27,13.55,13.92
DESO,2022-05-19,13.99,15.25,12.35,14.28
DESO,2022-05-20,14.11,14.63,12.46,13.01
DESO,2022-05-21,13.05,13.95,12.41,13.39
DESO,2022-05-22,13.31,14.5,12.72,13.92
DESO,2022-05-23,14.03,15.98,13.53,14.74
DESO,2022-05-24,15.07,15.83,12.82,14.16
DESO,2022-05-25,13.96,14.0,12.86,13.2
DESO,2022-05-26,13.2,13.25,11.83,12.18
DESO,2022-05-27,12.18,12.18,11.13,11.32
DESO,2022-05-28,11.27,11.52,10.77,11.31
DESO,2022-05-29,11.32,11.38,11.0,11.22
DESO,2022-05-30,11.25,12.56,11.2,12.52
DESO,2022-05-31,12.64,12.72,11.75,12.07
DESO,2022-06-01,12.07,12.09,10.84,10.88
DESO,2022-06-02,10.87,10.87,9.89,10.36
DESO,2022-06-03,10.43,10.93,9.86,9.99
DESO,2022-06-04,9.98,10.07,9.7,9.98
DESO,2022-06-05,9.97,10.22,9.86,10.04
DESO,2022-06-06,10.06,10.42,9.9,10.07
DESO,2022-06-07,10.05,10.15,9.24,9.78
DESO,2022-06-08,9.89,10.06,9.28,9.51
DESO,2022-06-09,9.43,14.37,9.37,10.36
DESO,2022-06-10,10.37,10.5,9.54,9.61
DESO,2022-06-11,9.59,9.8,8.8,8.9
DESO,2022-06-12,8.85,9.24,8.43,8.84
DESO,2022-06-13,8.66,8.97,7.67,7.98
DESO,2022-06-14,8.0,10.78,7.67,8.65
DESO,2022-06-15,8.8,9.18,7.9,8.62
DESO,2022-06-16,8.52,8.57,7.5,7.88
DESO,2022-06-17,7.82,8.1,7.6,8.03
DESO,2022-06-18,8.05,8.12,6.77,7.13
DESO,2022-06-19,7.1,8.34,6.91,7.78
DESO,2022-06-20,7.89,8.31,7.49,7.77
DESO,2022-06-21,7.79,8.41,7.56,8.16
DESO,2022-06-22,8.06,8.29,7.55,7.8
DESO,2022-06-23,7.88,8.15,7.4,7.69
DESO,2022-06-24,7.76,9.42,7.25,8.23
DESO,2022-06-25,8.1,8.31,7.72,7.92
DESO,2022-06-26,7.95,8.38,7.69,7.93
DESO,2022-06-27,7.85,11.02,7.75,8.89
DESO,2022-06-28,8.64,9.41,7.81,7.92
DESO,2022-06-29,8.04,8.28,7.81,8.01
DESO,2022-06-30,7.91,7.9705,7.09972,7.44
DESO,2022-07-01,7.5,8.44,7.44,8.04
DESO,2022-07-02,8.03,8.28,7.53,7.77
DESO,2022-07-03,7.74,7.89,7.54,7.8
DESO,2022-07-04,7.68,7.94,7.61,7.85
DESO,2022-07-05,7.86,8.34,7.59,7.89
DESO,2022-07-06,7.89,8.01,7.65,7.71
DESO,2022-07-07,7.66,8.11,7.62,8.03
DESO,2022-07-08,7.98,8.06,7.76,7.94
DESO,2022-07-09,8.06,8.81,7.66,8.19
DESO,2022-07-10,8.24,8.28,7.84,7.93
DESO,2022-07-11,7.92,8.08,7.81,7.94
DESO,2022-07-12,7.84,8.24,7.5,8.13
DESO,2022-07-13,8.22,9.4,7.58,7.83
DESO,2022-07-14,7.81,8.22,7.7,7.99
DESO,2022-07-15,8.03,8.99,7.72,7.89
DESO,2022-07-16,7.89,8.29,7.81,8.09
DESO,2022-07-17,8.12,8.33,8.0,8.25
DESO,2022-07-18,8.24,8.76,8.08,8.3
DESO,2022-07-19,8.25,9.52,8.0,8.57
DESO,2022-07-20,8.64,8.94,8.11,8.31
DESO,2022-07-21,8.26,8.46,7.81,8.16
DESO,2022-07-22,8.06,8.41,7.94,8.03
DESO,2022-07-23,8.03,8.28,8.01,8.16
DESO,2022-07-24,8.18,8.21,8.05,8.14
DESO,2022-07-25,8.2,8.2,7.87,7.93
DESO,2022-07-26,7.87,7.97,7.54,7.66
DESO,2022-07-27,7.72,8.14,7.42,8.03
DESO,2022-07-28,8.05,8.18,7.83,8.1
DESO,2022-07-29,8.1,8.44,7.95,8.08
DESO,2022-07-30,8.02,8.33,7.85,7.99
DESO,2022-07-31,8.01,8.29,8.01,8.19
DESO,2022-08-01,8.2,8.24,7.87,7.92
DESO,2022-08-02,7.88,8.05224,7.7,7.8
DESO,2022-08-03,7.8,8.18,7.7,7.94
DESO,2022-08-04,7.98,7.98,7.73,7.78
DESO,2022-08-05,7.79,8.97,7.69,8.71
DESO,2022-08-06,8.8,8.8,7.78,7.95
DESO,2022-08-07,7.96,8.1,7.74,7.78
DESO,2022-08-08,7.8,7.99,7.64,7.7
DESO,2022-08-09,7.7,8.21,7.56,7.57
DESO,2022-08-10,7.61,7.82,7.51,7.74
DESO,2022-08-11,7.75,8.28,7.72,8.15
DESO,2022-08-12,8.15,8.15,7.68,7.91
DESO,2022-08-13,7.98,8.06,7.72,7.76
DESO,2022-08-14,7.77,8.0,7.7,7.94
DESO,2022-08-15,7.89,8.24,7.75,7.81
DESO,2022-08-16,7.81,7.87,7.53,7.58
DESO,2022-08-17,7.6,7.7,7.37,7.39
DESO,2022-08-18,7.4,7.42,7.11,7.18
DESO,2022-08-19,7.18,7.19,6.09,6.79
DESO,2022-08-20,6.75,8.4,6.2,6.37
DESO,2022-08-21,6.34,7.14,6.03,6.16
DESO,2022-08-22,6.19,6.7,5.78,6.07
DESO,2022-08-23,6.1,6.41,5.82,6.12
